사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2023-03,2호선,0227,낙성대(강감찬),35,0,11573,2466,27046,10244,90443,23817,136581,46134,87981,37296,47398,31697,39370,25388,42101,28063,42561,30108,38335,31837,39320,38241,43663,45568,50938,64193,56818,106169,32379,94866,26050,59829,24872,56458,19428,57379,10443,36166,1846,10215,1,129,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0228,서울대입구(관악구청),4826,36,28818,2674,45524,14496,137266,31285,188720,78776,129481,72417,74505,63815,63054,51016,69523,54443,75827,60040,67339,59861,73367,70516,79834,84140,93170,116570,100624,184437,62824,156541,53920,94060,57380,87179,50946,88251,27639,52433,4656,20082,1,3521,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0229,봉천,86,5,15542,1668,29973,7142,90129,13495,129625,25889,80836,22085,44695,19247,35251,22494,37657,24441,37301,26492,31021,29396,30176,39553,33876,45781,32709,59919,33979,91477,21536,80321,17382,48869,15098,45952,11741,44374,5251,26772,993,8596,1,411,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0230,신림,215,9,39217,4385,74190,19420,203085,29227,294603,46762,179459,45489,98212,42837,80565,47283,84443,52186,78911,59036,72933,65537,71614,84218,78807,106379,83003,143777,85130,240387,57842,215755,49095,134160,46524,128434,41849,119697,24175,77862,4827,24632,6,481,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0231,신대방,200,2,25014,1879,35608,9262,96932,16586,143556,27817,88996,20438,48636,18233,39732,19793,39669,24142,36417,26745,32569,31069,31436,42047,34113,49430,34876,66970,36123,99896,22065,88301,16669,60623,13612,61865,10512,59428,5269,34573,961,9559,4,197,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0232,구로디지털단지,252,14,38297,5337,56253,20068,151275,83814,201815,246837,125263,156593,73774,63869,65333,46265,70404,49491,70000,62014,64251,61060,66522,70756,81960,85124,137900,115529,225588,177947,111224,145357,70455,92489,60610,89398,46329,87517,21514,53192,3566,15217,12,237,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0233,대림(구로구청),665,40,34243,3658,32182,11204,72203,24304,98591,60516,67294,37505,41173,33471,37436,35630,37735,34599,36549,35016,34855,34937,36570,43929,39722,53427,46605,65529,55928,74391,28730,58303,20813,40792,16851,50404,11472,46581,5996,23230,874,6095,1,199,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0234,신도림,3884,17,35476,5266,54898,21522,152128,44627,157768,121016,98517,73033,67006,65467,64582,64230,70185,66635,72110,70894,73162,67795,78229,77267,85979,91449,104909,120629,130803,186508,78235,135269,65081,78899,67493,74278,48172,71442,22364,54837,2855,22890,12,2856,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0235,문래,4,0,4151,2145,14433,11343,47917,38660,53449,138689,30027,64647,21629,26589,21764,23904,24996,25977,25957,28076,25959,26031,29277,28058,35878,32599,62023,41422,113812,62813,42471,43948,28658,23469,30203,20603,24467,18589,11549,11567,1952,3494,1,93,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0236,영등포구청,23,0,5704,3608,13208,13793,42619,39465,51411,129987,31686,56179,24765,28683,25222,25774,27126,26089,28373,29273,29966,27293,31283,28512,38818,32726,56102,39731,107511,58867,38667,39769,29232,24054,28426,22014,21163,19705,9724,13161,1633,4601,0,132,0,1,0,0,2023-04-03 09:45:30
2023-03,2호선,0237,당산,34,9,6668,3334,17225,12842,49410,32046,63072,87392,40767,38829,28386,20317,26083,18790,26358,21481,25205,24184,23243,24201,25345,29184,29997,36442,46910,53164,67518,81483,30023,55267,22269,35600,22531,35530,19606,32876,9147,21252,1321,5531,0,87,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0238,합정,110,9,10181,3194,19118,14611,46083,34824,59565,104386,40887,92199,30122,54197,31019,51116,37135,53594,41031,61109,43422,55634,47611,58189,57720,67942,81006,89357,125280,126827,81894,84827,66529,45248,74904,37886,69788,32662,37463,22784,6319,9108,1,150,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0239,홍대입구,1155,17,27942,3639,31603,18150,67590,40835,88394,115078,65238,155828,56938,107709,63120,119698,71985,138501,84140,153315,91478,143913,115506,148479,148430,164026,175584,200774,202824,251158,168511,180815,164411,103290,196737,83589,193581,67920,102718,49352,13565,18458,5,2028,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0240,신촌,70,2,7854,3008,14912,15237,39439,39490,59105,101225,42192,110623,39504,80439,46034,69121,57699,71090,64683,78989,68004,67738,78672,63774,96565,71198,113672,98264,112356,131472,79541,85113,80258,48217,88721,42631,92990,36765,46917,25764,8261,7205,2,113,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0241,이대,32,0,3735,927,9635,6176,29747,16695,40328,51002,25032,62623,19806,51943,21672,31806,30354,36874,31654,39906,32481,28111,43573,29394,46277,31169,59536,39002,52269,51664,31508,36847,28350,24082,27197,24018,19677,24050,7509,17296,1050,4802,0,57,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0242,아현,21,0,4993,906,11348,6301,32330,13863,45389,25164,26083,14465,19218,13637,17312,10909,18378,13545,18579,14222,16687,15183,18253,16987,25704,20004,21894,26074,22641,36508,13869,27713,10262,18206,7954,17636,6215,16477,2416,9993,444,2916,2,33,0,1,0,0,2023-04-03 09:45:30
2023-03,2호선,0243,충정로(경기대입구),20,1,3257,1051,6716,7992,17604,25251,23984,67502,15719,29447,11486,14178,12219,11833,12593,11472,14078,13525,14200,12968,15377,12792,20554,14289,32844,17655,51060,23371,16279,16556,11030,10769,10592,10974,7393,10206,3404,6664,704,2084,2,59,0,2,0,0,2023-04-03 09:45:30
2023-03,2호선,0244,용답,1,0,2322,227,3385,1397,9464,1921,14708,4581,7639,8359,5408,4598,4701,3720,5436,4056,5704,5523,5285,4437,6262,5493,7758,6893,7063,7779,4760,12027,2965,8176,2271,5256,1722,6201,1281,6133,552,3668,119,1129,0,2,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0245,신답,6,0,1273,185,1951,574,7000,998,12169,1860,5544,1142,2803,1289,2453,1383,2313,1587,2276,1870,2094,2167,1994,2848,2160,3934,2248,4890,2449,10476,1169,7777,712,3521,582,4071,561,3260,202,2113,35,583,0,0,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0246,신설동,48,1,1606,334,1592,2195,4989,5547,9659,14829,6043,9308,5044,8382,5936,7660,7323,7632,8116,8410,8610,6940,9734,6453,10487,5609,12953,6794,13693,8252,5399,6379,3621,4471,3367,3706,2311,3551,823,2452,121,789,0,129,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0247,도림천,1,0,348,431,1153,1097,3663,4694,3908,5980,2181,1929,2096,1681,1640,1262,2266,2098,1698,1731,2341,1957,2613,1859,3325,2110,3146,2388,3631,3369,1795,2934,1132,1832,877,1585,535,1276,206,971,33,307,0,5,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0248,양천구청,12,1,5245,1092,12773,2475,37674,5138,33621,10583,20286,5597,13480,4965,12124,5523,11955,7464,10254,8430,8134,9280,8316,12152,9436,15342,9937,21644,9589,32229,4524,27735,3290,15901,2736,15173,2441,12469,790,9434,161,3356,0,22,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0249,신정네거리,75,0,8459,943,19937,2784,55358,5205,49867,12323,28268,9013,18813,8084,17230,9324,17121,11043,15520,12498,12963,13332,12334,18575,13463,23830,13443,32544,12771,51651,7864,39878,5817,22829,4882,20545,3796,18745,1653,12429,289,3805,0,208,0,0,0,0,2023-04-03 09:45:30
2023-03,2호선,0250,용두(동대문구청),27,0,1213,64,1908,1014,5483,2637,10068,6155,5465,3478,4243,3504,4016,3667,4243,3541,4235,4550,4612,4578,4779,4934,5446,4936,5482,5379,6153,8503,2751,5760,1959,3328,1621,3312,920,2453,436,1619,74,558,0,12,0,0,0,0,2023-04-03 09:45:30
2023-03,3호선,0309,지축,6,0,2954,751,10081,6335,30535,6219,29195,9207,15474,5563,10582,4326,8839,5500,9147,6313,8808,6830,7840,7468,9498,9237,11933,12209,11354,16528,8397,27422,5954,21125,4603,14193,3702,11914,2789,11084,1367,6183,186,1111,0,1,0,1,0,0,2023-04-03 09:45:30
